"111年02月25日 三大法人買賣超日報"
"證券代號" "證券名稱" "外陸資買進股數(不含外資自營商)" "外陸資賣出股數(不含外資自營商)" "外陸資買賣超股數(不含外資自營商)" "外資自營商買進股數" "外資自營商賣出股數" "外資自營商買賣超股數" "投信買進股數" "投信賣出股數" "投信買賣超股數" "自營商買賣超股數" "自營商買進股數(自行買賣)" "自營商賣出股數(自行買賣)" "自營商買賣超股數(自行買賣)" "自營商買進股數(避險)" "自營商賣出股數(避險)" "自營商買賣超股數(避險)" "三大法人買賣超股數"
="08706P" "瑞昱國票14售01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "999000" "0" "0" "0" "1009000" "10000" "999000" "999000"
="08330P" "臺股指凱基13售26" "0" "0" "0" "0" "0" "0" "0" "0" "0" "998000" "0" "0" "0" "998000" "0" "998000" "998000"
="051502" "景碩凱基15購06  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "998000" "0" "0" "0" "1048000" "50000" "998000" "998000"
"6116" "彩晶            " "3270000" "2584000" "686000" "0" "0" "0" "396000" "0" "396000" "-86500" "0" "107008" "-107008" "85000" "64492" "20508" "995500"
="050867" "長榮國泰17購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "990000" "0" "0" "0" "1508000" "518000" "990000" "990000"
"2030" "彰源            " "3571000" "3031000" "540000" "0" "0" "0" "0" "0" "0" "429996" "41217" "1221" "39996" "390000" "0" "390000" "969996"
="057781" "台積電元大19購06" "0" "0" "0" "0" "0" "0" "0" "0" "0" "963000" "0" "0" "0" "1083000" "120000" "963000" "963000"
"2014" "中鴻            " "3522000" "2712000" "810000" "0" "0" "0" "0" "0" "0" "141722" "117009" "266393" "-149384" "358106" "67000" "291106" "951722"
="045522" "至上凱基15購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "951000" "0" "0" "0" "1316000" "365000" "951000" "951000"
="061956" "欣興元大17購16  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "937000" "0" "0" "0" "947000" "10000" "937000" "937000"
="040022" "T50反1凱基14購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "930000" "0" "0" "0" "930000" "0" "930000" "930000"
="062177" "鈺齊凱基1A購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "921000" "0" "0" "0" "1104000" "183000" "921000" "921000"
="047100" "大立光凱基18購01" "0" "0" "0" "0" "0" "0" "0" "0" "0" "915000" "0" "0" "0" "916000" "1000" "915000" "915000"
="047329" "晶華元大18購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "905000" "0" "0" "0" "1381000" "476000" "905000" "905000"
="03849P" "富采康和17售01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "902000" "0" "0" "0" "915000" "13000" "902000" "902000"
="049517" "鴻海凱基14購09  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "902000" "0" "0" "0" "902000" "0" "902000" "902000"
="042251" "聯詠國票13購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "900000" "0" "0" "0" "900000" "0" "900000" "900000"
"8213" "志超            " "1204000" "311000" "893000" "0" "0" "0" "3000" "0" "3000" "-9000" "0" "10000" "-10000" "33000" "32000" "1000" "887000"
="03588P" "T50正2群益16售02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "885000" "0" "0" "0" "1295000" "410000" "885000" "885000"
="060163" "友達富邦17購02  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "881000" "0" "0" "0" "881000" "0" "881000" "881000"
"2614" "東森            " "1677100" "794000" "883100" "0" "0" "0" "0" "0" "0" "-8000" "1000" "3000" "-2000" "23000" "29000" "-6000" "875100"
"2461" "光群雷          " "1167000" "292000" "875000" "0" "0" "0" "0" "0" "0" "-4" "0" "0" "0" "13" "17" "-4" "874996"
="048392" "美時國泰16購01  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "874000" "0" "0" "0" "1293000" "419000" "874000" "874000"
"3062" "建漢            " "1493000" "623000" "870000" "0" "0" "0" "0" "0" "0" "-231" "1000" "1782" "-782" "1000" "449" "551" "869769"
="054180" "台勝科統一17購02" "0" "0" "0" "0" "0" "0" "0" "0" "0" "864000" "0" "0" "0" "869000" "5000" "864000" "864000"
="062309" "台積電國泰1A購03" "0" "0" "0" "0" "0" "0" "0" "0" "0" "854000" "0" "0" "0" "1927000" "1073000" "854000" "854000"
="00710B" "FH彭博高收益債  " "929000" "23000" "906000" "0" "0" "0" "0" "0" "0" "-54000" "0" "0" "0" "200000" "254000" "-54000" "852000"
="060272" "中磊元大17購03  " "0" "0" "0" "0" "0" "0" "0" "0" "0" "851000" "0" "0" "0" "869000" "18000" "851000" "851000"
